timestamp,open,high,low,close,volume
2025-01-13 19:55:00,418.5500,418.7000,418.2600,418.5500,2884
2025-01-13 19:50:00,418.5000,418.7000,418.3901,418.5500,1617
2025-01-13 19:45:00,418.2000,418.5000,418.0000,418.5000,842
2025-01-13 19:40:00,417.9000,418.5000,417.9000,418.2000,457
2025-01-13 19:35:00,418.2000,418.5000,417.9600,418.2900,469
2025-01-13 19:30:00,418.0000,418.5000,417.9000,418.2000,471
2025-01-13 19:25:00,418.0900,418.5000,417.8000,418.0000,439
2025-01-13 19:20:00,418.0000,418.2400,417.8000,418.2400,867
2025-01-13 19:15:00,417.9150,418.1100,417.1900,417.9500,924
2025-01-13 19:10:00,417.9150,418.1100,417.7200,417.9000,195
2025-01-13 19:05:00,418.1100,418.1100,417.7200,417.9150,242
2025-01-13 19:00:00,418.3500,424.6800,417.7200,417.9150,4770
2025-01-13 18:55:00,418.1101,418.7000,418.1100,418.3500,467
2025-01-13 18:50:00,418.6700,418.6700,418.1436,418.4050,608
2025-01-13 18:45:00,418.7000,418.9300,418.5100,418.6050,551
2025-01-13 18:40:00,418.5501,418.9900,418.5100,418.7000,410
2025-01-13 18:35:00,418.4000,418.9900,418.3050,418.7500,2585
2025-01-13 18:30:00,418.2000,418.5000,418.0000,418.3700,1604
2025-01-13 18:25:00,418.1000,418.2000,417.7200,418.2000,572
2025-01-13 18:20:00,418.0000,418.2000,417.7200,418.1000,685
2025-01-13 18:15:00,418.1994,418.2000,417.7200,418.2000,3028
2025-01-13 18:10:00,418.2500,418.2550,417.9250,418.1988,2339
2025-01-13 18:05:00,418.1400,418.5000,418.0100,418.2500,1066
2025-01-13 18:00:00,417.8800,418.2500,417.7100,418.0800,723
2025-01-13 17:55:00,417.9350,418.0500,417.8000,417.8800,379
2025-01-13 17:50:00,418.0700,418.2400,402.5304,417.9350,940
2025-01-13 17:45:00,418.0750,418.2500,392.2682,418.2400,730
2025-01-13 17:40:00,418.1000,443.3769,411.8679,418.0750,722
2025-01-13 17:35:00,410.6445,419.1138,393.8095,418.1000,2041
2025-01-13 17:30:00,417.8700,417.9000,402.5304,417.9000,559
2025-01-13 17:25:00,417.8900,417.9000,417.5600,417.8900,451
2025-01-13 17:20:00,417.5450,417.8900,417.1900,417.7350,816
2025-01-13 17:15:00,417.5450,417.8900,417.2000,417.7000,476
2025-01-13 17:10:00,417.6300,417.8900,417.2000,417.5450,403
2025-01-13 17:05:00,417.5450,417.8900,417.2000,417.5450,341
2025-01-13 17:00:00,417.6000,417.9800,417.2000,417.8000,1465
2025-01-13 16:55:00,417.5000,417.8900,417.1900,417.4650,3253
2025-01-13 16:50:00,417.5900,417.9700,417.2000,417.6500,1075
2025-01-13 16:45:00,417.8350,417.9900,417.1900,417.5500,197524
2025-01-13 16:40:00,417.8400,418.0000,417.6000,417.7950,1261
2025-01-13 16:35:00,418.0000,418.0000,417.6400,417.7600,1098
2025-01-13 16:30:00,417.6550,418.0000,417.1900,417.9000,37670
2025-01-13 16:25:00,417.4300,417.9500,417.1900,417.6550,37565
2025-01-13 16:20:00,417.4300,417.9300,417.2500,417.4900,578
2025-01-13 16:15:00,417.2500,417.9700,417.1900,417.4400,1036
2025-01-13 16:10:00,417.9900,417.9900,417.1900,417.7500,46533
2025-01-13 16:05:00,417.5900,418.6000,417.1900,417.7450,49930
