timestamp,open,high,low,close,volume
2025-01-13 19:59:00,193.4900,193.5000,193.2300,193.2300,304
2025-01-13 19:58:00,193.2530,193.5000,193.2530,193.5000,528
2025-01-13 19:57:00,193.5000,193.5000,193.4800,193.4800,280
2025-01-13 19:56:00,193.5000,193.5000,193.3700,193.4900,123
2025-01-13 19:55:00,193.3650,193.5000,193.2300,193.2300,150
2025-01-13 19:54:00,193.3800,193.3800,193.3600,193.3800,41
2025-01-13 19:53:00,193.3300,193.4670,193.2900,193.3800,321
2025-01-13 19:52:00,193.3400,193.3400,193.2007,193.2007,10
2025-01-13 19:51:00,193.3500,193.3500,193.3497,193.3497,31
2025-01-13 19:50:00,193.3500,193.3500,193.3500,193.3500,32
2025-01-13 19:49:00,193.3000,193.3500,193.3000,193.3500,31
2025-01-13 19:48:00,193.3400,193.4800,193.3400,193.3500,7
2025-01-13 19:47:00,193.2100,193.4800,193.2100,193.3400,10
2025-01-13 19:46:00,193.3000,193.3400,193.3000,193.3400,12
2025-01-13 19:45:00,193.4800,193.4800,193.2900,193.3400,14
2025-01-13 19:44:00,193.3693,193.3693,193.2000,193.3400,78
2025-01-13 19:43:00,193.3400,193.3400,193.3400,193.3400,2
2025-01-13 19:42:00,193.3000,193.3400,193.3000,193.3400,2
2025-01-13 19:41:00,193.4800,193.4800,193.4800,193.4800,10
2025-01-13 19:40:00,193.3500,193.4999,193.3500,193.4999,5
2025-01-13 19:39:00,193.4600,193.4600,193.3000,193.3000,3
2025-01-13 19:38:00,193.3000,193.3300,193.2000,193.2000,21
2025-01-13 19:37:00,193.2999,193.3000,193.2999,193.3000,296
2025-01-13 19:36:00,193.3000,193.3000,193.2000,193.3000,56
2025-01-13 19:35:00,193.3000,193.3000,193.2100,193.2100,95
2025-01-13 19:34:00,193.2981,193.2981,193.2000,193.2000,14
2025-01-13 19:33:00,193.3700,193.3700,193.3700,193.3700,8
2025-01-13 19:32:00,193.5000,193.5000,193.5000,193.5000,1
2025-01-13 19:31:00,193.3000,193.3500,193.3000,193.3400,99
2025-01-13 19:30:00,193.3000,193.3400,193.3000,193.3400,14
2025-01-13 19:29:00,193.3000,193.3700,193.2070,193.3700,128
2025-01-13 19:28:00,193.3000,193.3100,193.3000,193.3000,370
2025-01-13 19:26:00,193.2250,193.2250,193.2250,193.2250,275
2025-01-13 19:25:00,193.3900,193.4800,193.3900,193.4800,80
2025-01-13 19:24:00,193.1000,193.4000,193.0700,193.4000,679
2025-01-13 19:23:00,193.1200,193.1200,193.1000,193.1000,138
2025-01-13 19:22:00,193.2000,193.2000,193.0700,193.2000,87
2025-01-13 19:20:00,193.0000,193.2000,192.9900,193.2000,1509
2025-01-13 19:19:00,192.8800,193.0000,192.8800,193.0000,151
2025-01-13 19:18:00,192.8400,192.8800,192.8400,192.8800,32
2025-01-13 19:17:00,192.9000,192.9000,192.8800,192.8800,103
2025-01-13 19:16:00,193.0000,193.0000,193.0000,193.0000,1
2025-01-13 19:15:00,192.9136,192.9136,192.8800,192.8800,30
2025-01-13 19:14:00,192.8800,192.9000,192.7601,192.9000,103
2025-01-13 19:13:00,192.9000,192.9000,192.8600,192.9000,90
2025-01-13 19:12:00,192.9300,193.0000,192.8600,192.8800,59
2025-01-13 19:10:00,192.8600,192.9100,192.8600,192.9100,21
2025-01-13 19:09:00,192.8600,192.9000,192.8600,192.9000,10
2025-01-13 19:08:00,192.8500,192.8600,192.8200,192.8600,61
2025-01-13 19:07:00,192.8500,192.8500,192.8500,192.8500,55
2025-01-13 19:06:00,192.8900,192.8900,192.8900,192.8900,3
